,idno,formid,form_model,title,nation,year_start,year_end,repositoryid,repo_title,created,changed,varcount,total_views,authoring_entity,total_downloads,rank,type,id,url,link_da,Unnamed: 0,Category
0,UNHCR_PHL_2018_MarawiIDP,3,licensed,Profiling Internally Displaced Persons of the Marawi Conflict,Philippines,2018,2018,ASIA,Asia Pacific,2020-09-08T13:56:07+02:00,2020-09-08T14:02:25+02:00,122,6241,UNHCR,652,1,survey,268,https://microdata.unhcr.org/index.php/catalog/268,,71.0,Internal Displacement Profiling
1,UNHCR_MOZ_2019_KAP,3,licensed,KAP Survey – Maratane Refugee Camp,Mozambique,2019,2019,SAO,Southern Africa,2020-11-19T13:14:36+01:00,2020-11-19T13:18:37+01:00,92,6068,UNHCR,643,1,survey,278,https://microdata.unhcr.org/index.php/catalog/278,,,
2,HDX_PrAct_RWA_2018_RE4R_vEXT,5,remote,Renewable Energy for Refugees (RE4R) Project Assessment Phase Survey (Households),Rwanda,2018,2018,EHA,East and Horn of Africa,2021-05-12T10:34:01+02:00,2021-05-12T10:34:18+02:00,0,510,"Practical Action, UNHCR",0,1,survey,383,https://microdata.unhcr.org/index.php/catalog/383,,111.0,Renewable Energy for Refugees (RE4R) 
3,UNHCR_EU_2023_ukr_intentions_round3_v2.1,3,licensed,Survey of intentions and perspectives of refugees from Ukraine #3 - Feb 2023,"Belgium, Bulgaria, Czech Republic...and 10 more",2022,2023,EURO,Europe,2023-03-20T17:40:36+01:00,2023-03-20T17:40:36+01:00,205,13,UNHCR,0,1,survey,873,https://microdata.unhcr.org/index.php/catalog/873,,,
4,UNHCR_KGZ_2022_RMS_anon_data_v2.1,3,licensed,Results Monitoring Survey 2022,Kyrgyzstan,2023,2023,ASIA,Asia Pacific,2023-03-28T12:55:17+02:00,2023-04-24T08:33:20+02:00,67,46,UNHCR,2,1,survey,882,https://microdata.unhcr.org/index.php/catalog/882,,,
5,UNHCR_NPL_2022_RMS_anon_data_v2.1,3,licensed,Results Monitoring Survey and Socio-Sconomic Assessment 2022,Nepal,2023,2023,ASIA,Asia Pacific,2023-03-10T05:43:55+01:00,2023-03-10T05:43:55+01:00,186,1,UNHCR,0,1,survey,846,https://microdata.unhcr.org/index.php/catalog/846,,,
6,UNHCR_TJK_2022_CBI_PDM_anon_data_v2.1,3,licensed,Post-Distribution Monitoring of Cash-Based Intervention 2022,Tajikistan,2023,2023,ASIA,Asia Pacific,2023-03-27T13:33:18+02:00,2023-03-27T13:33:18+02:00,139,1,UNHCR,0,1,survey,881,https://microdata.unhcr.org/index.php/catalog/881,,,
7,UNHCR_EUR_2022_BorderMonitoring_v2.1,3,licensed,"Border Monitoring of Refugee Arrivals from Ukraine into Hungary, Moldova, Poland, Romania and Slovakia - 2022","Hungary, Moldova, Poland...and 2 more",2022,2022,EURO,Europe,2023-03-14T16:26:37+01:00,2023-03-14T16:26:37+01:00,83,4,"UNHCR, REACH",0,1,survey,854,https://microdata.unhcr.org/index.php/catalog/854,,,
8,UNHCR_AFG_2022_RHAF_anon_data_v2.1,3,licensed,Rapid Household Assessments 2022,Afghanistan,2022,2022,ASIA,Asia Pacific,2023-02-23T10:29:40+01:00,2023-02-23T11:18:40+01:00,259,281,UNHCR,19,1,survey,843,https://microdata.unhcr.org/index.php/catalog/843,,,
9,UNHCR_AFG_2022_seva_anon_data_v2.1,3,licensed,Social-Economic Vulnerability Assessment 2022,Afghanistan,2022,2022,ASIA,Asia Pacific,2023-03-27T12:04:59+02:00,2023-04-03T17:34:26+02:00,363,2,REACH,0,1,survey,880,https://microdata.unhcr.org/index.php/catalog/880,,,
