"","title","Category"
"1","Socio-economic assessment of refugees in Kenya's Kakuma camp 2015","Socioeconomic Assessment of Refugees"
"2","Standardized Expanded Nutrition Survey (SENS) in Melkadida Refugee Camps, Ethiopia 2018","Standardized Expanded Nutrition Survey (SENS)"
"3","Socio-economic assessment of Malian refugees - 2016","Socioeconomic Assessment of Refugees"
"4","Socio-economic assessement of Central African refugees in Cameroon's Adamanou, Eastern and Northern regions 2016","Socioeconomic Assessment of Refugees"
"5","Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – July 2018","Multi Sector Needs Assessment"
"6","Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response - January 2019","Multi Sector Needs Assessment"
"7","WASH KAP Survey Rohingya Cox’s Bazar, 2018","KAP WASH Survey"
"8","KPC (KAP) Survey Report Gambella Region Kule - 2017","KPC (KAP) Survey Report"
"9","KPC (KAP) Survey Report Gambella Region Pugnido - 2017","KPC (KAP) Survey Report"
"10","KPC (KAP) Survey Report Gambella Region Tierkidi - 2017","KPC (KAP) Survey Report"
"11","KPC (KAP) Survey Report Shire, Adi-Harush camp - 2017","KPC (KAP) Survey Report"
"12","KPC (KAP) Survey Report Shire, Hitsats camp - 2017","KPC (KAP) Survey Report"
"13","KPC (KAP) Survey Report Shire, May-Aini camp - 2017","KPC (KAP) Survey Report"
"14","KPC (KAP) Survey Report Shire, Shimelba camp - 2017","KPC (KAP) Survey Report"
"15","KPC (KAP) Survey Report Gambella Region Pugnido II - 2017","KPC (KAP) Survey Report"
"16","WASH KAP Survey Diffa Region, Kablewa - December 2016","KAP WASH Survey"
"17","WASH KAP Survey Diffa region, Sayam Forage - August 2018","KAP WASH Survey"
"18","KAP WASH Survey in Tongorara Refugee Camp - 2019","KAP WASH Survey"
"19","KAP WASH Survey - 2017","KAP WASH Survey"
"20","Livelihoods Programme Monitoring Beneficiary Survey in 2017","Livelihoods Programme Monitoring Beneficiary Survey"
"21","Socio-economic assessment of IDPs and returnees in the five most populated settlements of Afghanistan's Herat Province 2017","Socioeconomic assessment"
"22","Socio-economic assessment of refugees and asylum seekers in Malawi's Dzaleka and Luwani camps 2017","Socioeconomic Assessment of Refugees"
"23","Socio-economic assessment of refugees in Rwanda's Gihembe, Kigeme and Kiziba camps 2016","Socioeconomic Assessment of Refugees"
"24","Socio-economic assessment of Pakistani refugees in Afghanistan's Khost and Paktika provinces 2017","Socioeconomic Assessment of Refugees"
"25","Vulnerability Assessment of Syrian Refugees in Lebanon, 2018","Vulnerability Assessment of Syrian Refugees (VASYR)"
"26","SENS survey in the Central African refugee sites of the eastern region and Adamou in Cameroon, January and March 2015","Standardized Expanded Nutrition Survey (SENS)"
"27","SENS in Refugee Camps and Host Villages in South Chad and the Lac Region 2019","Standardized Expanded Nutrition Survey (SENS)"
"28","Socio-economic assessment of refugees in 2017","Socioeconomic Assessment of Refugees"
"29","Socio-economic assessment of refugees in Gozamir and Belom camps 2015","Socioeconomic Assessment of Refugees"
"30","Socio-economic assessment of refugees in Tongogara camp 2017","Socioeconomic Assessment of Refugees"
"31","WASH KAP Survey, Kyangwali Refugee Settlement 2018","KAP WASH Survey"
"32","WASH KAP Survey, Palorinya Refugee settlement zone 3 - 2018","KAP WASH Survey"
"33","Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – June 2019","Multi Sector Needs Assessment"
"34","Shelter Need Assessment Cox's Bazar 2019","Shelter Need Assessment"
"35","Post-Distribution Monitoring Cash-Based Interventions - July 2018","Post-Distribution Monitoring of Cash-Based Interventions"
"36","Post Distribution Monitoring shelter and non-food items - September 2018","Post Distribution Monitoring of Non-Food Items"
"37","Joint Standardized Expanded Nutrition Survey Final Report (Aysaita & Berhale) Refugee Camps, Afar Region, Ethiopia (September 2017)","Standardized Expanded Nutrition Survey (SENS)"
"38","WASH KAP Survey Kyangwali Refugee Camp, November 2019","KAP WASH Survey"
"39","Thessaloniki: Profiling of Refugees, Asylum Seekers and Third Country Nationals not registered with the Asylum Service. Potential and Obstacles to Local Integration.  2019","Internal Displacement Profiling"
"40","Vulnerability Assessment of Syrian Refugees - 2019","Vulnerability Assessment of Syrian Refugees (VASYR)"
"41","Summary of WASH Assessment in UNHCR Bangladesh Supported Camps 2018","KAP WASH Survey"
"42","Profiling of South and Central Governorates - 2016","Internal Displacement Profiling"
"43","Vulnerability Assessment of Syrian Refugees in Arsaal - 2019","Vulnerability Assessment of Syrian Refugees (VASYR)"
"44","Analysis and Refinement of Targeting Mechanisms for Food and Multipurpose Cash Assistance to Central African Republic Refugees - 2016","Analysis and Refinement of Targeting Mechanisms for Food and Multipurpose Cash Assistance"
"45","Vulnerability Assessment of Syrian Refugees - 2017","Vulnerability Assessment of Syrian Refugees (VASYR)"
"46","Vulnerability Assessment of Syrian Refugees - 2016","Vulnerability Assessment of Syrian Refugees (VASYR)"
"47","Regional Intention Survey of South Sudanese Refugees in Central African Republic, Democratic Republic of The Congo, Ethiopia, Kenya, Sudan and Uganda (June 2019)","Regional Intention Survey"
"48","Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - October 2017","Standardized Expanded Nutrition Survey (SENS)"
"49","Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - October 2018","Standardized Expanded Nutrition Survey (SENS)"
"50","Progress Towards Durable Solutions in Abu Shouk and El Salam IDP Camps, 2019","Progress Towards Durable Solutions"
"51","Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - December 2016","Standardized Expanded Nutrition Survey (SENS)"
"52","Joint Multi-Sector Needs Assessment - 2018","Joint Multi-Sector Needs Assessment"
"53","Socio-economic Profiling Survey of Refugees in Kalobeyei 2018","Socioeconomic Assessment of Refugees"
"54","Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - October 2019","Standardized Expanded Nutrition Survey (SENS)"
"55","Measuring statelessness: A study of the Pemba - 2016","Measuring statelessness"
"56","Alternative Cooking Fuels and Training Programme - 2019","Alternative Cooking Fuels and Training Programme"
"57","COVID19 Refugee Household Monitoring, 2020","COVID19 Refugee Household Monitoring"
